Date,ETblue [m^3/s]
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,0.02220518810531951
2017-04-01,1.0451723487613764
2017-05-01,2.6603108117973426
2017-06-01,2.621447930354796
2017-07-01,5.637254678298534
2017-08-01,7.731576537937412
2017-09-01,4.409980775782353
2017-10-01,0.7382122390129946
2017-11-01,0.0
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,-0.07321628461575899
2018-04-01,1.8134414391395335
2018-05-01,2.036249969581934
2018-06-01,1.2155933652114665
2018-07-01,3.963823794227867
2018-08-01,6.075031482698204
2018-09-01,3.5047201233756753
2018-10-01,1.3947291575412468
2018-11-01,0.0
2018-12-01,0.0
2019-01-01,0.0
2019-02-01,0.0
2019-03-01,0.25700223876965006
2019-04-01,0.8869489767362632
2019-05-01,2.0758695004136856
2019-06-01,1.5703136406774714
2019-07-01,5.094775088820752
2019-08-01,7.926354820655083
2019-09-01,4.6653442412517645
2019-10-01,1.7838446610210736
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,0.27056109164354897
2020-04-01,0.9275646992261644
2020-05-01,1.7093660266705601
2020-06-01,2.030280424149511
2020-07-01,5.388761893463766
2020-08-01,9.163392922324427
2020-09-01,4.849168217988027
2020-10-01,1.2800112242663162
2020-11-01,0.0
2020-12-01,0.0
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.021311657419574633
2021-04-01,0.6501101133985496
2021-05-01,2.294256004526208
2021-06-01,2.8026521511656206
2021-07-01,5.768972508152041
2021-08-01,6.144076690027742
2021-09-01,3.2607178055190538
2021-10-01,0.5807150983111891
2021-11-01,0.0
2021-12-01,0.0
2022-01-01,0.0
2022-02-01,0.0
2022-03-01,0.4156058366184845
2022-04-01,0.5482286039324475
2022-05-01,2.16979668564754
2022-06-01,2.5675281062928894
2022-07-01,6.290516863775734
2022-08-01,6.881882087409354
2022-09-01,4.430410309290894
2022-10-01,1.4162043120650218
2022-11-01,0.0
2022-12-01,0.0
