h;v
498.3483276;0
498.4483276;2392771.286
498.5483276;5047427.528
498.6483276;7923643.453
498.7483276;1.09E+07
498.8483276;1.39E+07
498.9483276;1.70E+07
499.0483276;2.00E+07
499.1483276;2.31E+07
499.2483276;2.63E+07
499.3483276;2.94E+07
499.4483276;3.26E+07
499.5483276;3.58E+07
499.6483276;3.90E+07
499.7483276;4.22E+07
499.8483276;4.54E+07
499.9483276;4.87E+07
500.0483276;5.20E+07
500.1483276;5.54E+07
500.2483276;5.88E+07
500.3483276;6.22E+07
500.4483276;6.56E+07
500.5483276;6.91E+07
500.6483276;7.26E+07
500.7483276;7.61E+07
500.8483276;7.97E+07
500.9483276;8.32E+07
501.0483276;8.68E+07
501.1483276;9.05E+07
501.2483276;9.41E+07
501.3483276;9.78E+07
501.4483276;1.02E+08
501.5483276;1.05E+08
501.6483276;1.09E+08
501.7483276;1.13E+08
501.8483276;1.17E+08
501.9483276;1.21E+08
502.0483276;1.24E+08
502.1483276;1.28E+08
502.2483276;1.32E+08
502.3483276;1.36E+08
502.4483276;1.41E+08
502.5483276;1.45E+08
502.6483276;1.49E+08
502.7483276;1.53E+08
502.8483276;1.57E+08
502.9483276;1.62E+08
503.0483276;1.66E+08
503.1483276;1.70E+08
503.2483276;1.75E+08
503.3483276;1.79E+08
503.4483276;1.84E+08
503.5483276;1.89E+08
503.6483276;1.93E+08
503.7483276;1.98E+08
503.8483276;2.03E+08
503.9483276;2.07E+08
504.0483276;2.12E+08
504.1483276;2.17E+08
504.2483276;2.22E+08
504.3483276;2.27E+08
504.4483276;2.31E+08
504.5483276;2.36E+08
504.6483276;2.41E+08
504.7483276;2.47E+08
504.8483276;2.52E+08
504.9483276;2.57E+08
505.0483276;2.62E+08
505.1483276;2.67E+08
505.2483276;2.73E+08
505.3483276;2.78E+08
505.4483276;2.84E+08
505.5483276;2.89E+08
505.6483276;2.94E+08
505.7483276;3.00E+08
505.8483276;3.06E+08
505.9483276;3.11E+08
506.0483276;3.17E+08
506.1483276;3.22E+08
506.2483276;3.28E+08
506.3483276;3.34E+08
506.4483276;3.40E+08
506.5483276;3.45E+08
506.6483276;3.51E+08
506.7483276;3.57E+08
506.8483276;3.63E+08
506.9483276;3.69E+08
507.0483276;3.75E+08
507.1483276;3.82E+08
507.2483276;3.88E+08
507.3483276;3.94E+08
507.4483276;4.00E+08
507.5483276;4.06E+08
507.6483276;4.13E+08
507.7483276;4.19E+08
507.8483276;4.26E+08
507.9483276;4.32E+08
508.0483276;4.39E+08
508.1483276;4.46E+08
508.2483276;4.52E+08
508.3483276;4.59E+08
508.4483276;4.66E+08
508.5483276;4.72E+08
508.6483276;4.79E+08
508.7483276;4.86E+08
508.8483276;4.93E+08
508.9483276;5.00E+08
509.0483276;5.07E+08
509.1483276;5.14E+08
509.2483276;5.21E+08
509.3483276;5.29E+08
509.4483276;5.36E+08
509.5483276;5.43E+08
509.6483276;5.51E+08
509.7483276;5.58E+08
509.8483276;5.65E+08
509.9483276;5.73E+08
510.0483276;5.80E+08
510.1483276;5.88E+08
510.2483276;5.95E+08
510.3483276;6.03E+08
510.4483276;6.11E+08
510.5483276;6.18E+08
510.6483276;6.26E+08
510.7483276;6.34E+08
510.8483276;6.42E+08
510.9483276;6.49E+08
511.0483276;6.57E+08
511.1483276;6.67E+08
